,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of state order training woman students, persons","Number of paid training woman students, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign man students, persons","Number of state order training foreign woman students, persons","Number of paid training foreign woman students, persons","Number of state order training man entrants, persons","Number of state order training man students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of foreign woman students, persons","Number of state order training foreign man students, persons","Number of paid training foreign man students, persons"
"Number of woman entrants, persons",1.0,0.5721386595822398,0.8192060502718069,0.963713563017473,0.3529532397924424,0.7542893368067367,0.7388968826394923,0.6695331652418212,0.2838461009658234,0.1022018022890274,0.5053725290884873,0.5569112780215563,-0.3153912424608003,0.35165156240184375,0.26534799471356196,0.34819156656575234,0.29358227394980235,0.020001922748597717,0.0936348813492112,0.08740845024734116,0.3590794978341148
"Number of man entrants, persons",0.5721386595822398,1.0,0.4544541406890549,0.5580083471051597,0.8290032820619065,0.3640908093607707,0.2307006370293169,0.36882096690275656,0.5616167301771599,0.061027619616000735,0.2606402676578852,0.2399878855663865,-0.2336614122455891,0.16143343339413502,0.23338620366699894,0.4967401738499988,0.16858594811403435,0.5374554782587803,-0.1733233966248096,-0.2070254955688873,0.20876850317685833
"Number of state order training woman entrants, persons",0.8192060502718069,0.4544541406890549,1.0,0.6363909325421421,0.07962136094269275,0.4098590186384192,0.6769084663005996,0.26400959686449793,0.06005864361041701,0.25217734398229086,0.7047476230074643,0.7340474293880754,-0.005623940812809506,0.175282675549918,0.520387366698064,0.5696632546567556,-0.08441772378047208,-0.16026962715196288,0.01348937476453188,0.17606798086761843,0.4220150777523944
"Number of paid training woman entrants, persons",0.963713563017473,0.5580083471051597,0.6363909325421421,1.0,0.43766813171811764,0.8237612811624927,0.678758474118674,0.7776491748917495,0.3538233863654965,0.020085851932748713,0.35170619658564506,0.4073889634897782,-0.42158910130447347,0.3913912497216902,0.11468048446959972,0.2031708108294161,0.4341660579604121,0.1015013490740229,0.1196618644787699,0.035614067806597254,0.2865389544530424
"Number of paid training man entrants, persons",0.3529532397924424,0.8290032820619065,0.07962136094269275,0.43766813171811764,1.0,0.2873232611971178,-0.06520762220534958,0.3806522279676244,0.524623212428858,-0.037356698990341615,-0.08822005246776557,-0.19692414906653435,-0.2755152285349002,0.14652492190720223,-0.26537890960373534,0.21641455918187952,0.28483504872013166,0.5869323517645518,-0.09097076279966275,-0.204709580743474,-0.20959860961368948
"Number of woman students, persons",0.7542893368067367,0.3640908093607707,0.4098590186384192,0.8237612811624927,0.2873232611971178,1.0,0.7499412855687094,0.9708483366646613,0.3462250274848789,0.012918220787434669,0.21460561317291232,0.31224588712160767,-0.08041905112213606,0.35797316676418656,-0.021361954804354766,-0.142435569426828,0.4817666778302335,0.07364471309013879,0.232511230198276,0.0037008790928808395,0.1508298767005494
"Number of state order training woman students, persons",0.7388968826394923,0.2307006370293169,0.6769084663005996,0.678758474118674,-0.06520762220534958,0.7499412855687094,1.0,0.569520209503766,0.26425812280203637,0.25624366992940045,0.6766284370166591,0.7240240878007321,0.05820383560402411,0.35745939034945784,0.3148951049517124,-0.05507778715903999,0.11710315341349303,-0.07763117949747533,0.32272607352544,-0.0396843164794334,0.49637346056575155
"Number of paid training woman students, persons",0.6695331652418212,0.36882096690275656,0.26400959686449793,0.7776491748917495,0.3806522279676244,0.9708483366646613,0.569520209503766,1.0,0.3344616847777304,-0.07679728612327669,0.02149155475795857,0.12564446707754323,-0.12101776346241748,0.3152885128632069,-0.14064562988541232,-0.1570313977718849,0.55620536131265,0.11963950713160545,0.17197657261779017,0.01897818913068826,0.007559579540899066
"Number of man graduates, persons",0.2838461009658234,0.5616167301771599,0.06005864361041701,0.3538233863654965,0.524623212428858,0.3462250274848789,0.26425812280203637,0.3344616847777304,1.0,-0.3707189375836238,-0.07835983148385864,-0.03465714282283204,-0.4953077387868511,-0.07334028578414845,0.06862688449909546,-0.22699358721691126,0.2755258366483863,0.5141915618489634,-0.2394873369802108,-0.5751912932659805,0.2547316649753543
"Number of foreign woman entrants, persons",0.1022018022890274,0.061027619616000735,0.25217734398229086,0.020085851932748713,-0.037356698990341615,0.012918220787434669,0.25624366992940045,-0.07679728612327669,-0.3707189375836238,1.0,0.6087289910720975,0.44508274046729973,0.4726811316022268,0.7066724240481075,0.08001448541195867,0.07191964430186469,-0.6725542767575636,-0.31495496786734367,0.7971117151233292,0.24964511771693682,0.13445263699986718
"Number of foreign man entrants, persons",0.5053725290884873,0.2606402676578852,0.7047476230074643,0.35170619658564506,-0.08822005246776557,0.21460561317291232,0.6766284370166591,0.02149155475795857,-0.07835983148385864,0.6087289910720975,1.0,0.9206511463871646,0.2895785031638618,0.3385622959850798,0.47957965578582296,0.3708288634833686,-0.2986422302941994,-0.15399771903456888,0.40759052990264394,0.26712573573956166,0.5778698187955149
"Number of foreign man students, persons",0.5569112780215563,0.2399878855663865,0.7340474293880754,0.4073889634897782,-0.19692414906653435,0.31224588712160767,0.7240240878007321,0.12564446707754323,-0.03465714282283204,0.44508274046729973,0.9206511463871646,1.0,0.16129656032599107,0.3406573253273874,0.5181373700331715,0.4273968661127605,-0.15352131450734524,-0.22132910479018342,0.29118485079964457,0.29875491015578903,0.625452480002284
"Number of state order training foreign woman students, persons",-0.3153912424608003,-0.2336614122455891,-0.005623940812809506,-0.42158910130447347,-0.2755152285349002,-0.08041905112213606,0.05820383560402411,-0.12101776346241748,-0.4953077387868511,0.4726811316022268,0.2895785031638618,0.16129656032599107,1.0,-0.06058062098688875,0.05042121423251124,-0.04878649286282748,-0.3741912322397004,-0.12083816105403043,0.30062905265117174,0.2397189817947303,-0.13247714801930263
"Number of paid training foreign woman students, persons",0.35165156240184375,0.16143343339413502,0.175282675549918,0.3913912497216902,0.14652492190720223,0.35797316676418656,0.35745939034945784,0.3152885128632069,-0.07334028578414845,0.7066724240481075,0.3385622959850798,0.3406573253273874,-0.06058062098688875,1.0,-0.12460937782090399,-0.05664784087989137,-0.16597157840948096,-0.1643185927209913,0.7976802382485528,0.018058046913945656,0.16621739280811118
"Number of state order training man entrants, persons",0.26534799471356196,0.23338620366699894,0.520387366698064,0.11468048446959972,-0.26537890960373534,-0.021361954804354766,0.3148951049517124,-0.14064562988541232,0.06862688449909546,0.08001448541195867,0.47957965578582296,0.5181373700331715,0.05042121423251124,-0.12460937782090399,1.0,0.38892456685618887,-0.22098871095274117,0.028236419902448972,-0.16828106446360197,-0.17358713927715283,0.8389196864899444
"Number of state order training man students, persons",0.34819156656575234,0.4967401738499988,0.5696632546567556,0.2031708108294161,0.21641455918187952,-0.142435569426828,-0.05507778715903999,-0.1570313977718849,-0.22699358721691126,0.07191964430186469,0.3708288634833686,0.4273968661127605,-0.04878649286282748,-0.05664784087989137,0.38892456685618887,1.0,0.014718953719593104,0.04793988997909957,-0.3144961102653794,0.38505916949419505,0.17234635856465416
"Number of paid training man students, persons",0.29358227394980235,0.16858594811403435,-0.08441772378047208,0.4341660579604121,0.28483504872013166,0.4817666778302335,0.11710315341349303,0.55620536131265,0.2755258366483863,-0.6725542767575636,-0.2986422302941994,-0.15352131450734524,-0.3741912322397004,-0.16597157840948096,-0.22098871095274117,0.014718953719593104,1.0,0.3984303468171245,-0.3381599636225779,-0.08398203497942755,-0.05960134345380497
"Number of woman graduates, persons",0.020001922748597717,0.5374554782587803,-0.16026962715196288,0.1015013490740229,0.5869323517645518,0.07364471309013879,-0.07763117949747533,0.11963950713160545,0.5141915618489634,-0.31495496786734367,-0.15399771903456888,-0.22132910479018342,-0.12083816105403043,-0.1643185927209913,0.028236419902448972,0.04793988997909957,0.3984303468171245,1.0,-0.3798091176454948,-0.6102862058525363,0.10164829908358475
"Number of foreign woman students, persons",0.0936348813492112,-0.1733233966248096,0.01348937476453188,0.1196618644787699,-0.09097076279966275,0.232511230198276,0.32272607352544,0.17197657261779017,-0.2394873369802108,0.7971117151233292,0.40759052990264394,0.29118485079964457,0.30062905265117174,0.7976802382485528,-0.16828106446360197,-0.3144961102653794,-0.3381599636225779,-0.3798091176454948,1.0,0.21610072302432382,0.1356111782870023
"Number of state order training foreign man students, persons",0.08740845024734116,-0.2070254955688873,0.17606798086761843,0.035614067806597254,-0.204709580743474,0.0037008790928808395,-0.0396843164794334,0.01897818913068826,-0.5751912932659805,0.24964511771693682,0.26712573573956166,0.29875491015578903,0.2397189817947303,0.018058046913945656,-0.17358713927715283,0.38505916949419505,-0.08398203497942755,-0.6102862058525363,0.21610072302432382,1.0,-0.22396805774435177
"Number of paid training foreign man students, persons",0.3590794978341148,0.20876850317685833,0.4220150777523944,0.2865389544530424,-0.20959860961368948,0.1508298767005494,0.49637346056575155,0.007559579540899066,0.2547316649753543,0.13445263699986718,0.5778698187955149,0.625452480002284,-0.13247714801930263,0.16621739280811118,0.8389196864899444,0.17234635856465416,-0.05960134345380497,0.10164829908358475,0.1356111782870023,-0.22396805774435177,1.0
